,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFGHANISTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ALBANIA,304,287,119,184,371,317,354,470,557,645,748,937,"1,127","1,420","1,856","2,417","2,932","3,514","3,256","3,673","4,131","4,736","5,118","5,927","6,406","2,658","5,689","7,544"
ALGERIA,520,605,635,678,749,866,901,988,"1,166","1,234","1,443","1,638","1,743","1,772","1,912","2,070","2,395","2,634","2,733","2,301","1,710","2,039","2,451","2,657","2,371",591,125,"1,398"
AMERICAN SAMOA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.3,41.3,50.2,49.3,51.6,47.1,38.3,42.3,51.8,58.6,..,..,..
ANDORRA,..,..,..,..,"9,422","10,991","11,351","11,507","11,601","11,668","11,049","10,737","10,743","10,194","9,112","8,551","7,983","7,900","7,676","7,797","7,850","8,025","8,152","8,328","8,235","5,207","5,422","8,427"
ANGOLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ANGUILLA,107,86,114,114,107,112,105,111,109,121,143,167,164,128,112,118,124,129,151,177,186,176,151,87,166,41,29,96
ANTIGUA AND BARBUDA,447,498,526,570,560,634,624,528,623,769,712,838,935,863,944,788,848,819,777,771,894,874,"1,040","1,064","1,035",276,250,642
ARGENTINA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"9,986","9,964","10,394","11,131","3,096",460,"7,503"
ARMENIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ARUBA,912,957,947,906,972,"1,211","1,178","1,225","1,184","1,304","1,286","1,285","1,254","1,383","1,420","1,394","1,469","1,481","1,667","1,739","1,832","1,758","1,863","1,897","1,951",623,943,"1,711"
AUSTRALIA,"3,726","4,165","4,318","4,167","4,459","4,931","4,856","4,841","4,746","5,215","5,499","5,532","5,644","5,586","5,490","5,790","5,771","6,032","6,482","6,922","7,449","8,269","8,815","9,246","9,466","1,828",246,"3,694"
AUSTRIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AZERBAIJAN,93,210,306,483,602,681,767,834,"1,038","1,279","1,177","1,194","1,333","1,899","1,830","1,963","2,239","2,484","2,509","2,298","2,006","2,249","2,697","2,850","3,170",796,792,"1,602"
BAHAMAS,"3,239","3,416","3,446","3,348","3,648","4,204","4,183","4,406","4,594","5,004","4,779","4,731","4,601","4,394","4,645","5,255","5,588","5,940","6,151","6,320","6,112","6,265","6,136","6,622","7,250","1,795","2,101","7,001"
BAHRAIN,"2,311","1,988","2,600","2,898","3,280","3,869","4,388","4,831","4,844","5,667","6,313","7,289","7,833","8,631","8,861","11,952","6,732","8,062","9,163","10,452","9,670","10,158","11,374","12,045","11,061","1,909","3,612","9,949"
BANGLADESH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BARBADOS,927,957,990,"1,019",947,"1,078","1,035","1,021","1,090","1,273","1,111","1,102","1,191","1,165","1,154","1,197","1,187","1,053","1,079","1,079","1,179","1,227","1,345","1,356",966,546,242,898
BELARUS,..,..,..,..,..,"2,030","1,852","1,907","1,729","1,816","4,738","5,276","5,283","5,262","4,872","5,674","5,877","6,130","6,242","5,375","4,386","10,935","11,060","11,502","11,832","3,598","3,361","4,920"
BELGIUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BELIZE,342,349,305,300,340,374,385,694,999,"1,329","1,037",903,880,846,941,"1,054","1,106","1,028","1,022","1,289","1,299","1,391","1,441","1,697","1,674",487,437,..
BENIN,580,516,541,575,941,"1,068","1,155",853,850,845,960,975,"1,010","1,027",..,..,222,232,252,265,279,292,307,322,337,354,..,..
BERMUDA,557,570,562,558,549,539,458,484,483,478,517,635,660,550,554,580,652,610,576,580,597,642,688,766,805,51,86,549
BHUTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"BOLIVIA, PLURINATIONAL STATE OF",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BONAIRE,70,80,86,85,78,96,94,94,107,116,103,126,172,250,280,297,..,..,..,..,..,..,..,..,..,..,..,..
BOSNIA AND HERZEGOVINA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BOTSWANA,636,656,765,940,"1,039","1,306","1,451","1,485","1,592","1,727","1,684","1,642","1,965","2,344",..,..,..,..,..,..,"1,660","1,712","1,775","1,830","1,555",358,338,..
BRAZIL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BRITISH VIRGIN ISLANDS,365,412,365,392,484,519,535,544,614,813,821,825,948,934,857,842,831,753,742,773,922,"1,124",..,..,895,..,..,..
BRUNEI DARUSSALAM,498,837,643,964,967,984,840,891,944,..,815,836,877,..,..,..,..,..,..,..,..,"4,257","4,316","4,521","4,449","1,071",110,..
BULGARIA,"8,005","6,811","7,543","5,240","5,056","4,922","5,104","5,563","6,241","6,982","7,282","7,499","7,726","8,533","7,873","8,374","8,713","8,867","9,192","9,409","9,317","10,604","11,596","12,368","12,552","4,973","7,188","10,888"
BURKINA FASO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BURUNDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
