Country,Latitude (average),Longitude (average),Total (thousands),Overnight (thousands),Same-day (thousands),Region
Malawi,-13.5,34.0,..,..,..,Africa
Malaysia,2.5,112.5,207785,71916,135869,Asia
Maldives,3.25,73.0,..,..,..,Asia
Mali,17.0,-4.0,..,24,..,Africa
Malta,35.8333,14.5833,..,369,..,Europe
Marshall Islands,9.0,168.0,..,..,..,Oceania
Martinique,14.6667,-61.0,..,..,..,North America
Mauritania,20.0,-12.0,..,..,..,Africa
Mauritius,-20.2833,57.55,..,..,..,Africa
Mayotte,-12.8333,45.1667,..,..,..,Africa
Mexico,23.0,-102.0,..,..,..,North America
"Micronesia, Federated States of",6.9167,158.25,..,..,..,Oceania
"Moldova, Republic of",47.0,29.0,124,23,100,Europe
Monaco,43.7333,7.4,..,..,..,Europe
Mongolia,46.0,105.0,..,..,..,Asia
Montenegro,42.0,19.0,..,..,..,Europe
Montserrat,16.75,-62.2,..,..,..,North America
Morocco,32.0,-5.0,..,..,..,Africa
Mozambique,-18.25,35.0,..,..,..,Africa
Myanmar,22.0,98.0,..,..,..,Asia
Namibia,-22.0,17.0,..,..,..,Africa
Nauru,-0.5333,166.9167,..,..,..,Oceania
Nepal,28.0,84.0,..,..,..,Asia
Netherlands,52.5,5.75,..,21490,..,Europe
Netherlands Antilles,12.25,-68.75,..,..,..,Unknown
New Caledonia,-21.5,165.5,..,..,..,Oceania
New Zealand,-41.0,174.0,..,..,..,Oceania
Nicaragua,13.0,-85.0,..,..,..,North America
Niger,16.0,8.0,..,..,..,Africa
Nigeria,10.0,8.0,4128,1755,2373,Africa
Niue,-19.0333,-169.8667,..,..,..,Oceania
Norfolk Island,-29.0333,167.95,..,..,..,Oceania
Northern Mariana Islands,15.2,145.75,..,..,..,Oceania
Norway,62.0,10.0,..,21780,..,Europe
Oman,21.0,57.0,..,..,..,Asia
Pakistan,30.0,70.0,..,..,..,Asia
Palau,7.5,134.5,..,..,..,Oceania
"Palestinian Territory, Occupied",32.0,35.25,..,..,..,Unknown
Panama,9.0,-80.0,..,..,..,North America
Papua New Guinea,-6.0,147.0,..,..,..,Oceania
Paraguay,-23.0,-58.0,..,..,..,South America
Peru,-10.0,-76.0,..,..,..,South America
Philippines,13.0,122.0,102958,..,..,Asia
Pitcairn,-24.7,-127.4,..,..,..,Unknown
Poland,52.0,20.0,..,51702,..,Europe
Portugal,39.5,-8.0,..,19969,..,Europe
Puerto Rico,18.25,-66.5,..,..,..,North America
Qatar,25.5,51.25,..,..,..,Asia
Réunion,-21.1,55.6,..,..,..,Africa
Romania,46.0,25.0,51364,16261,35103,Europe
Russian Federation,60.0,100.0,..,..,..,Europe
Rwanda,-2.0,30.0,..,..,..,Africa
"Saint Helena, Ascension and Tristan da Cunha",-15.9333,-5.7,..,..,..,Africa
Saint Kitts and Nevis,17.3333,-62.75,..,..,..,North America
Saint Lucia,13.8833,-61.1333,..,..,..,North America
Saint Pierre and Miquelon,46.8333,-56.3333,..,..,..,North America
Saint Vincent and the Grenadines,13.25,-61.2,..,..,..,North America
Samoa,-13.5833,-172.3333,..,..,..,Oceania
San Marino,43.7667,12.4167,..,..,..,Europe
Sao Tome and Principe,1.0,7.0,..,..,..,Africa
Saudi Arabia,25.0,45.0,125817,77837,47980,Asia
Senegal,14.0,-14.0,..,..,..,Africa
Serbia,44.0,21.0,..,..,..,Europe
Seychelles,-4.5833,55.6667,..,..,..,Africa
Sierra Leone,8.5,-11.5,..,..,..,Africa
Singapore,1.3667,103.8,..,..,..,Asia
Slovakia,48.6667,19.5,..,..,..,Europe
Slovenia,46.0,15.0,..,2773,..,Europe
Solomon Islands,-8.0,159.0,..,..,..,Oceania
Somalia,10.0,49.0,..,..,..,Africa
South Africa,-29.0,24.0,210365,34000,176365,Africa
South Georgia and the South Sandwich Islands,-54.5,-37.0,..,..,..,South America
South Sudan,8.0,30.0,..,..,..,Africa
Spain,40.0,-4.0,353920,147713,206207,Europe
Sri Lanka,7.0,81.0,..,..,..,Asia
Sudan,15.0,30.0,..,..,..,Africa
Suriname,4.0,-56.0,..,..,..,South America
Svalbard and Jan Mayen,78.0,20.0,..,..,..,Europe
Swaziland,-26.5,31.5,..,..,..,Unknown
Sweden,62.0,15.0,..,..,..,Europe
Switzerland,47.0,8.0,59994,7168,52827,Europe
Syrian Arab Republic,35.0,38.0,..,..,..,Asia
"Taiwan, Province of China",23.5,121.0,168558,48208,120350,Asia
Tajikistan,39.0,71.0,..,..,..,Asia
"Tanzania, United Republic of",-6.0,35.0,..,..,..,Africa
Thailand,15.0,100.0,..,..,..,Asia
Timor-Leste,-8.55,125.5167,..,..,..,Unknown
Togo,8.0,1.1667,..,..,..,Africa
Tokelau,-9.0,-172.0,..,..,..,Oceania
Tonga,-20.0,-175.0,..,..,..,Oceania
Trinidad and Tobago,11.0,-61.0,1337,..,..,North America
Tunisia,34.0,9.0,..,..,..,Africa
Turkey,39.0,35.0,76567,52327,24240,Unknown
Turkmenistan,40.0,60.0,..,..,..,Asia
Turks and Caicos Islands,21.75,-71.5833,..,..,..,North America
Tuvalu,-8.0,178.0,..,..,..,Oceania
Uganda,1.0,32.0,23608,9456,14152,Africa
Ukraine,49.0,32.0,..,..,..,Europe
United Arab Emirates,24.0,54.0,..,..,..,Asia
United Kingdom,54.0,-2.0,2914000,126000,2788000,Europe
United States,38.0,-97.0,..,..,..,North America
United States Minor Outlying Islands,19.2833,166.6,..,..,..,Unknown
Uruguay,-33.0,-56.0,..,..,..,South America
Uzbekistan,41.0,64.0,..,..,..,Asia
Vanuatu,-16.0,167.0,..,..,..,Oceania
"Venezuela, Bolivarian Republic of",8.0,-66.0,..,..,..,South America
Viet Nam,16.0,106.0,101300,66700,34600,Asia
"Virgin Islands, British",18.5,-64.5,..,..,..,North America
"Virgin Islands, U.S.",18.3333,-64.8333,..,..,..,North America
Wallis and Futuna,-13.3,-176.2,..,..,..,Oceania
Western Sahara,24.5,-13.0,..,..,..,Unknown
Yemen,15.0,48.0,..,..,..,Asia
Zambia,-15.0,30.0,..,..,..,Africa
Zimbabwe,-20.0,30.0,21164,12275,8889,Africa
