Country,Latitude (average),Longitude (average),Total (thousands),Overnight (thousands),Same-day (thousands)
Niue,-19.0333,-169.8667,..,..,..
Norfolk Island,-29.0333,167.95,..,..,..
Northern Mariana Islands,15.2,145.75,..,..,..
Norway,62,10,..,21780,..
Oman,21,57,..,..,..
Pakistan,30,70,..,..,..
Palau,7.5,134.5,..,..,..
"Palestinian Territory, Occupied",32,35.25,..,..,..
Panama,9,-80,..,..,..
Papua New Guinea,-6,147,..,..,..
Paraguay,-23,-58,..,..,..
Peru,-10,-76,..,..,..
Philippines,13,122,102958,..,..
Pitcairn,-24.7,-127.4,..,..,..
Poland,52,20,..,51702,..
Portugal,39.5,-8,..,19969,..
Puerto Rico,18.25,-66.5,..,..,..
Qatar,25.5,51.25,..,..,..
Réunion,-21.1,55.6,..,..,..
Romania,46,25,51364,16261,35103
Russian Federation,60,100,..,..,..
Rwanda,-2,30,..,..,..
"Saint Helena, Ascension and Tristan da Cunha",-15.9333,-5.7,..,..,..
Saint Kitts and Nevis,17.3333,-62.75,..,..,..
Saint Lucia,13.8833,-61.1333,..,..,..
Saint Pierre and Miquelon,46.8333,-56.3333,..,..,..
Saint Vincent and the Grenadines,13.25,-61.2,..,..,..
Samoa,-13.5833,-172.3333,..,..,..
San Marino,43.7667,12.4167,..,..,..
Sao Tome and Principe,1,7,..,..,..
Saudi Arabia,25,45,125817,77837,47980
Senegal,14,-14,..,..,..
Serbia,44,21,..,..,..
Seychelles,-4.5833,55.6667,..,..,..
Sierra Leone,8.5,-11.5,..,..,..
Singapore,1.3667,103.8,..,..,..
Slovakia,48.6667,19.5,..,..,..
Slovenia,46,15,..,2773,..
Solomon Islands,-8,159,..,..,..
Somalia,10,49,..,..,..
South Africa,-29,24,210365,34000,176365
South Georgia and the South Sandwich Islands,-54.5,-37,..,..,..
South Sudan,8,30,..,..,..
Spain,40,-4,353920,147713,206207
Sri Lanka,7,81,..,..,..
Sudan,15,30,..,..,..
Suriname,4,-56,..,..,..
Svalbard and Jan Mayen,78,20,..,..,..
Swaziland,-26.5,31.5,..,..,..
Sweden,62,15,..,..,..
Switzerland,47,8,59994,7168,52827
Syrian Arab Republic,35,38,..,..,..
"Taiwan, Province of China",23.5,121,168558,48208,120350
Tajikistan,39,71,..,..,..
"Tanzania, United Republic of",-6,35,..,..,..
Thailand,15,100,..,..,..
Timor-Leste,-8.55,125.5167,..,..,..
Togo,8,1.1667,..,..,..
Tokelau,-9,-172,..,..,..
Tonga,-20,-175,..,..,..
Trinidad and Tobago,11,-61,1337,..,..
