Country,Year,Value,Rank,Top10Rank
NORTHERN MARIANA ISLANDS,2021,13.0,115.0,
OMAN,2021,652.0,64.0,
PANAMA,2021,804.0,58.0,
PAPUA NEW GUINEA,2021,17.0,114.0,
PARAGUAY,2021,571.0,67.0,
PERU,2021,444.0,72.0,
POLAND,2021,51026.0,5.0,5.0
PUERTO RICO,2021,2755.0,31.0,
QATAR,2021,611.0,65.0,
ROMANIA,2021,6789.0,19.0,
RWANDA,2021,511.0,69.0,
SAINT KITTS AND NEVIS,2021,123.0,101.0,
SAINT LUCIA,2021,297.0,83.0,
SAINT VINCENT AND THE GRENADINES,2021,57.0,108.0,
SAMOA,2021,3.0,117.0,
SAN MARINO,2021,1354.0,45.0,
SAUDI ARABIA,2021,3869.0,26.0,
SEYCHELLES,2021,183.0,95.0,
SIERRA LEONE,2021,44.0,109.0,
SINGAPORE,2021,330.0,81.0,
SINT MAARTEN (DUTCH PART),2021,482.0,70.0,
SOUTH AFRICA,2021,2664.0,32.0,
SPAIN,2021,51631.0,4.0,4.0
SRI LANKA,2021,195.0,93.0,
SYRIAN ARAB REPUBLIC,2021,661.0,63.0,
TAIWAN PROVINCE OF CHINA,2021,140.0,99.0,
TAJIKISTAN,2021,296.0,84.0,
"TANZANIA, UNITED REPUBLIC OF",2021,1027.0,51.0,
TONGA,2021,0.0,119.0,
TRINIDAD AND TOBAGO,2021,41.0,110.0,
TÜRKIYE,2021,30039.0,9.0,9.0
TURKS AND CAICOS ISLANDS,2021,432.0,74.0,
UKRAINE,2021,4272.0,25.0,
UNITED ARAB EMIRATES,2021,12784.0,13.0,
UNITED KINGDOM,2021,6384.0,20.0,
UNITED STATES OF AMERICA,2021,66594.0,2.0,2.0
UNITED STATES VIRGIN ISLANDS,2021,1072.0,50.0,
URUGUAY,2021,234.0,90.0,
UZBEKISTAN,2021,1881.0,38.0,
VIET NAM,2021,157.0,97.0,
ZIMBABWE,2021,381.0,78.0,
ALBANIA,2022,7544.0,23.0,
ALGERIA,2022,1398.0,65.0,
ANDORRA,2022,8427.0,22.0,
ANGUILLA,2022,96.0,97.0,
ANTIGUA AND BARBUDA,2022,642.0,81.0,
ARGENTINA,2022,7503.0,24.0,
ARUBA,2022,1711.0,59.0,
AUSTRALIA,2022,3694.0,40.0,
AZERBAIJAN,2022,1602.0,61.0,
BAHAMAS,2022,7001.0,26.0,
BAHRAIN,2022,9949.0,20.0,
BARBADOS,2022,898.0,74.0,
BELARUS,2022,4920.0,33.0,
BERMUDA,2022,549.0,84.0,
BULGARIA,2022,10888.0,19.0,
CAMEROON,2022,539.0,85.0,
CANADA,2022,17924.0,14.0,
CAYMAN ISLANDS,2022,1028.0,71.0,
CHILE,2022,2269.0,54.0,
CHINA,2022,25250.0,11.0,
COLOMBIA,2022,4686.0,37.0,
COSTA RICA,2022,2497.0,51.0,
COTE D´IVOIRE,2022,2047.0,55.0,
CROATIA,2022,50023.0,6.0,6.0
CUBA,2022,1614.0,60.0,
CURAÇAO,2022,1034.0,70.0,
DENMARK,2022,31530.0,8.0,8.0
DOMINICA,2022,235.0,93.0,
DOMINICAN REPUBLIC,2022,8489.0,21.0,
ECUADOR,2022,1265.0,67.0,
EGYPT,2022,11724.0,17.0,
EL SALVADOR,2022,2541.0,50.0,
ESTONIA,2022,3497.0,43.0,
ESWATINI,2022,503.0,87.0,
FIJI,2022,652.0,80.0,
FRENCH POLYNESIA,2022,261.0,91.0,
GEORGIA,2022,4704.0,36.0,
GREECE,2022,29876.0,10.0,10.0
GRENADA,2022,335.0,89.0,
GUATEMALA,2022,1845.0,58.0,
HONDURAS,2022,1911.0,57.0,
"HONG KONG, CHINA",2022,605.0,82.0,
HUNGARY,2022,46343.0,7.0,7.0
INDIA,2022,14330.0,15.0,
INDONESIA,2022,5889.0,29.0,
"IRAN, ISLAMIC REPUBLIC OF",2022,4108.0,38.0,
ISRAEL,2022,2851.0,47.0,
ITALY,2022,74317.0,2.0,2.0
JAMAICA,2022,3331.0,44.0,
JAPAN,2022,3832.0,39.0,
JORDAN,2022,5049.0,32.0,
KAZAKHSTAN,2022,4729.0,34.0,
KENYA,2022,1484.0,63.0,
"KOREA, REPUBLIC OF",2022,3198.0,45.0,
KYRGYZSTAN,2022,6901.0,27.0,
LITHUANIA,2022,4725.0,35.0,
"MACAO, CHINA",2022,5700.0,30.0,
MALAYSIA,2022,19016.0,12.0,
MALTA,2022,2776.0,48.0,
MARTINIQUE,2022,661.0,79.0,
MAURITIUS,2022,1003.0,72.0,
MEXICO,2022,65995.0,4.0,4.0
MONGOLIA,2022,301.0,90.0,
MOROCCO,2022,10968.0,18.0,
MOZAMBIQUE,2022,879.0,76.0,
NAMIBIA,2022,528.0,86.0,
NEW CALEDONIA,2022,139.0,95.0,
NEW ZEALAND,2022,1434.0,64.0,
NICARAGUA,2022,933.0,73.0,
NIGERIA,2022,1271.0,66.0,
NORTHERN MARIANA ISLANDS,2022,97.0,96.0,
OMAN,2022,2920.0,46.0,
PANAMA,2022,1946.0,56.0,
PAPUA NEW GUINEA,2022,69.0,98.0,
PARAGUAY,2022,1548.0,62.0,
PERU,2022,2279.0,53.0,
POLAND,2022,71814.0,3.0,3.0
PUERTO RICO,2022,3638.0,42.0,
QATAR,2022,2560.0,49.0,
ROMANIA,2022,12697.0,16.0,
SAINT KITTS AND NEVIS,2022,589.0,83.0,
SAINT LUCIA,2022,714.0,78.0,
SAINT VINCENT AND THE GRENADINES,2022,210.0,94.0,
SAMOA,2022,51.0,100.0,
SAUDI ARABIA,2022,18256.0,13.0,
SEYCHELLES,2022,339.0,88.0,
SINGAPORE,2022,6306.0,28.0,
SINT MAARTEN (DUTCH PART),2022,1217.0,68.0,
SOUTH AFRICA,2022,7342.0,25.0,
SPAIN,2022,104968.0,1.0,1.0
SRI LANKA,2022,759.0,77.0,
TAIWAN PROVINCE OF CHINA,2022,896.0,75.0,
TONGA,2022,22.0,101.0,
TRINIDAD AND TOBAGO,2022,253.0,92.0,
TÜRKIYE,2022,51388.0,5.0,5.0
UKRAINE,2022,2307.0,52.0,
UNITED KINGDOM,2022,31244.0,9.0,9.0
UZBEKISTAN,2022,5233.0,31.0,
VANUATU,2022,65.0,99.0,
VIET NAM,2022,3661.0,41.0,
ZIMBABWE,2022,1044.0,69.0,
